"YEAR","LAT","LON","COUNTRY","REMARKS","CODE","SEVERITY"
2000,12.3185833,-69.165,"Netherlands Antilles","AGGRA","ANT","Plague Disease"
1999,12.034667,-68.271667,"Netherlands Antilles","3-17m depth","ANT","Plague Disease"
1998,12.0166666,-68.75,"Netherlands Antilles","AGGRA","ANT","Plague Disease"
1998,12.0166666,-68.75,"Netherlands Antilles","AGGRA","ANT","Plague Disease"
1998,12.0166666,-68.75,"Netherlands Antilles","AGGRA","ANT","Plague Disease"
1998,12.0166666,-68.75,"Netherlands Antilles","AGGRA","ANT","Plague Disease"
2003,12.21988889,-69.08711111,"Netherlands Antilles","Source: Reef Check, 2005; General Comments: depth was 13m, % incidence averaged from four consecutive 20m transect sections","ANT","Plague Disease"
2003,12.28077778,-69.14494444,"Netherlands Antilles","Source: Reef Check, 2005; General Comments: depth was 6.5m, % incidence averaged from four consecutive 20m transect sections","ANT","Plague Disease"
2003,12.28077778,-69.14494444,"Netherlands Antilles","Source: Reef Check, 2005; General Comments: depth was 13m, % incidence averaged from four consecutive 20m transect sections","ANT","Plague Disease"
2000,12.28077778,-69.14494444,"Netherlands Antilles","Source: Reef Check, 2005; General Comments: depth was 6m, % incidence averaged from four consecutive 20m transect sections","ANT","Plague Disease"
2000,12.28077778,-69.14494444,"Netherlands Antilles","Source: Reef Check, 2005; General Comments: depth was 12m, % incidence averaged from four consecutive 20m transect sections","ANT","Plague Disease"
2003,12.13936111,-68.99722222,"Netherlands Antilles","Source: Reef Check, 2005; General Comments: depth was 6.5m, % incidence averaged from four consecutive 20m transect sections","ANT","Plague Disease"
2003,12.13936111,-68.99722222,"Netherlands Antilles","Source: Reef Check, 2005; General Comments: depth was 13m, % incidence averaged from four consecutive 20m transect sections","ANT","Plague Disease"
1999,12.25833333,-68.4275,"Netherlands Antilles","AGGRA","ANT","Plague Disease"
1999,12.25833333,-68.4275,"Netherlands Antilles","AGGRA","ANT","Plague Disease"
1999,12.25833333,-68.4275,"Netherlands Antilles","AGGRA","ANT","Plague Disease"
1999,12.25833333,-68.4275,"Netherlands Antilles","AGGRA","ANT","Plague Disease"
2003,12.384833,-69.16002778,"Netherlands Antilles","Source: Reef Check, 2005; General Comments: depth was 13m, % incidence averaged from four consecutive 20m transect sections","ANT","Plague Disease"
1998,13.8166667,-61.05,"St. Lucia",NA,"LCA","Plague Disease"
1998,13.8166667,-61.05,"St. Lucia",NA,"LCA","Plague Disease"
1998,13.8166667,-61.05,"St. Lucia",NA,"LCA","Plague Disease"
1998,13.8166667,-61.05,"St. Lucia",NA,"LCA","Plague Disease"
1998,13.8166667,-61.05,"St. Lucia",NA,"LCA","Plague Disease"
1998,13.8166667,-61.05,"St. Lucia",NA,"LCA","Plague Disease"
1998,13.8166667,-61.05,"St. Lucia",NA,"LCA","Plague Disease"
1998,13.8166667,-61.05,"St. Lucia",NA,"LCA","Plague Disease"
1998,13.8166667,-61.05,"St. Lucia",NA,"LCA","Plague Disease"
1998,13.8166667,-61.05,"St. Lucia",NA,"LCA","Plague Disease"
1998,13.8166667,-61.05,"St. Lucia",NA,"LCA","Plague Disease"
1997,13.8166667,-61.05,"St. Lucia","First incident of white plague in St. Lucia","LCA","Plague Disease"
1998,13.85,-61.08333,"St. Lucia",NA,"LCA","Plague Disease"
1998,13.85,-61.08333,"St. Lucia",NA,"LCA","Plague Disease"
1998,13.85,-61.08333,"St. Lucia",NA,"LCA","Plague Disease"
1998,13.85,-61.08333,"St. Lucia",NA,"LCA","Plague Disease"
1998,13.85,-61.08333,"St. Lucia",NA,"LCA","Plague Disease"
1998,13.85,-61.08333,"St. Lucia",NA,"LCA","Plague Disease"
1998,13.85,-61.08333,"St. Lucia",NA,"LCA","Plague Disease"
1998,13.85,-61.066667,"St. Lucia",NA,"LCA","Plague Disease"
1998,13.85,-61.066667,"St. Lucia",NA,"LCA","Plague Disease"
1998,13.85,-61.066667,"St. Lucia",NA,"LCA","Plague Disease"
1998,13.85,-61.066667,"St. Lucia",NA,"LCA","Plague Disease"
1998,13.85,-61.066667,"St. Lucia",NA,"LCA","Plague Disease"
1998,13.85,-61.066667,"St. Lucia",NA,"LCA","Plague Disease"
1998,13.8166667,-61.05,"St. Lucia",NA,"LCA","Plague Disease"
1998,13.8166667,-61.05,"St. Lucia",NA,"LCA","Plague Disease"
1998,13.8166667,-61.05,"St. Lucia",NA,"LCA","Plague Disease"
1998,13.8166667,-61.05,"St. Lucia",NA,"LCA","Plague Disease"
1998,13.8166667,-61.05,"St. Lucia",NA,"LCA","Plague Disease"
1998,13.8166667,-61.05,"St. Lucia",NA,"LCA","Plague Disease"
1998,13.8166667,-61.05,"St. Lucia",NA,"LCA","Plague Disease"
1998,13.8166667,-61.05,"St. Lucia",NA,"LCA","Plague Disease"
1999,12.63001667,-61.35111667,"St. Vincent and the Grenadines","AGGRA","VCT","Plague Disease"
2009,11.33,-60.56,"Trinidad and Tobago","Jan-Willem van Bochove 60.33.22.3W.11.19.59.4N","TTO","Plague Disease"
1999,17.17186667,-87.59271667,"Belize","AGGRA","BLZ","Plague Disease"
1999,17.17186667,-87.59271667,"Belize","AGGRA","BLZ","Plague Disease"
2004,16.165,-88.33861111,"Belize","Source: Reef Check, 2005; General Comments: depth was 4.1m, % incidence averaged from four consecutive 20m transect sections","BLZ","Plague Disease"
1999,17.25058333,-87.52821667,"Belize","AGGRA","BLZ","Plague Disease"
1999,17.92,-87.95,"Belize","AGGRA","BLZ","Plague Disease"
1999,17.18755,-87.58951667,"Belize","AGGRA","BLZ","Plague Disease"
1999,17.18755,-87.58951667,"Belize","AGGRA","BLZ","Plague Disease"
1999,17.21833333,-87.60975,"Belize","AGGRA","BLZ","Plague Disease"
1999,17.21833333,-87.60975,"Belize","AGGRA","BLZ","Plague Disease"
1999,17.21833333,-87.60975,"Belize","AGGRA","BLZ","Plague Disease"
1999,16.71,-88.17,"Belize","AGGRA","BLZ","Plague Disease"
1999,17.92,-87.94,"Belize","AGGRA","BLZ","Plague Disease"
2004,16.168333,-88.335,"Belize","Source: Reef Check, 2005; General Comments: depth was 9.2m, % incidence averaged from four consecutive 20m transect sections","BLZ","Plague Disease"
1999,17.22401667,-87.6068,"Belize","AGGRA","BLZ","Plague Disease"
1999,16.81,-88.06,"Belize","AGGRA","BLZ","Plague Disease"
1999,16.81,-88.06,"Belize","AGGRA","BLZ","Plague Disease"
2000,17.3429,-87.95188333,"Belize","AGGRA","BLZ","Plague Disease"
1999,16.76,-88.14,"Belize","AGGRA","BLZ","Plague Disease"
1999,16.76,-88.14,"Belize","AGGRA","BLZ","Plague Disease"
1999,18.32488,-87.81556,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.32488,-87.81556,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.32488,-87.81556,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.32488,-87.81556,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.32488,-87.81556,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.32488,-87.81556,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.32488,-87.81556,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.32488,-87.81556,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.32488,-87.81556,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.32488,-87.81556,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.32488,-87.81556,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.10583333,-87.45944444,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.10583333,-87.45944444,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.10583333,-87.45944444,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.10583333,-87.45944444,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.10583333,-87.45944444,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.10583333,-87.45944444,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.10583333,-87.45944444,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.10583333,-87.45944444,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.10583333,-87.45944444,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.10583333,-87.45944444,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.10583333,-87.45944444,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.10583333,-87.45944444,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.11416667,-87.45638889,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.11416667,-87.45638889,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.11416667,-87.45638889,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.11416667,-87.45638889,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.11416667,-87.45638889,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.11416667,-87.45638889,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.11416667,-87.45638889,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.11416667,-87.45638889,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.11416667,-87.45638889,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.11416667,-87.45638889,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.11416667,-87.45638889,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.11416667,-87.45638889,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.11416667,-87.45638889,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.11416667,-87.45638889,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.11416667,-87.45638889,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.11416667,-87.45638889,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.11416667,-87.45638889,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.11416667,-87.45638889,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.11416667,-87.45638889,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.11416667,-87.45638889,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.11416667,-87.45638889,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.11416667,-87.45638889,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.11416667,-87.45638889,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.11416667,-87.45638889,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.11416667,-87.45638889,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.11416667,-87.45638889,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.0975,-87.46305556,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.0975,-87.46305556,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.0975,-87.46305556,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.0975,-87.46305556,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.2575,-87.81903,"Mexico","AGGRA","MEX","Plague Disease"
2000,20.48115,-87.23871667,"Mexico","Source: Reef Check, 2005; General Comments: depth was 6m, % incidence averaged from four consecutive 20m transect sections","MEX","Plague Disease"
2000,20.48115,-87.23871667,"Mexico","Source: Reef Check, 2005; General Comments: depth was 12m, % incidence averaged from four consecutive 20m transect sections","MEX","Plague Disease"
1999,20.3998,-87.30598,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.3998,-87.30598,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.3998,-87.30598,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.39648,-87.30658,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.39648,-87.30658,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.39648,-87.30658,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.39648,-87.30658,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.39648,-87.30658,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.39648,-87.30658,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.90222222,-87.62333333,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.90222222,-87.62333333,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.90222222,-87.62333333,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.90222222,-87.62333333,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.91333333,-87.6175,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.89305556,-87.62666667,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.89305556,-87.62666667,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.89305556,-87.62666667,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.89305556,-87.62666667,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.89305556,-87.62666667,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.89305556,-87.62666667,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.89305556,-87.62666667,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.89305556,-87.62666667,"Mexico","AGGRA","MEX","Plague Disease"
2000,18.767,-87.33076667,"Mexico","AGGRA","MEX","Plague Disease"
2000,18.41535,-87.41521667,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.40219,-87.30298,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.40219,-87.30298,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.40219,-87.30298,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.40219,-87.30298,"Mexico","AGGRA","MEX","Plague Disease"
2000,18.40981667,-87.43228333,"Mexico","AGGRA","MEX","Plague Disease"
2000,18.5259,-87.4343,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.4,-87.31,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.71694444,-87.7025,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.71694444,-87.7025,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.71694444,-87.7025,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.72333333,-87.59888889,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.72333333,-87.59888889,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.72333333,-87.59888889,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.72333333,-87.59888889,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.70833333,-87.70555556,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.70833333,-87.70555556,"Mexico","AGGRA","MEX","Plague Disease"
2000,18.66236667,-87.2342,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.2392,-87.82682,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.2392,-87.82682,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.235,-87.8329,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.235,-87.8329,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.235,-87.8329,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.235,-87.8329,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.235,-87.8329,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.235,-87.8329,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.235,-87.8329,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.235,-87.8329,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.83333333,-87.44333333,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.83333333,-87.44333333,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.83333333,-87.44333333,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.83333333,-87.44333333,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.83333333,-87.44333333,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.83333333,-87.44333333,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.84166667,-87.4375,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.84166667,-87.4375,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.84166667,-87.4375,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.84166667,-87.4375,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.84166667,-87.4375,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.84166667,-87.4375,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.84166667,-87.4375,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.825,-87.44777778,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.825,-87.44777778,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.825,-87.44777778,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.825,-87.44777778,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.825,-87.44777778,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.95833333,-87.44777778,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.96666667,-87.45166667,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.96666667,-87.45166667,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.96666667,-87.45166667,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.975,-87.45277778,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.975,-87.45277778,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.975,-87.45277778,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.975,-87.45277778,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.28087,-87.817,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.14583333,-87.53611111,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.14583333,-87.53611111,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.14583333,-87.53611111,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.14583333,-87.53611111,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.14583333,-87.53611111,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.14583333,-87.53611111,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.14583333,-87.53611111,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.15416667,-87.53333333,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.15416667,-87.53333333,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.15416667,-87.53333333,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.15416667,-87.53333333,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.1375,-87.53694444,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.1375,-87.53694444,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.1375,-87.53694444,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.1375,-87.53694444,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.1375,-87.53694444,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.1375,-87.53694444,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.1375,-87.53694444,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.1375,-87.53694444,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.1375,-87.53694444,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.1375,-87.53694444,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.1375,-87.53694444,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.1375,-87.53694444,"Mexico","AGGRA","MEX","Plague Disease"
1999,19.1375,-87.53694444,"Mexico","AGGRA","MEX","Plague Disease"
1999,18.22861111,-87.83083333,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.40765,-87.2991,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.40765,-87.2991,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.40765,-87.2991,"Mexico","AGGRA","MEX","Plague Disease"
1999,20.40765,-87.2991,"Mexico","AGGRA","MEX","Plague Disease"
1998,24.50643,-77.69697,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.50643,-77.69697,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.50643,-77.69697,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.50643,-77.69697,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.50643,-77.69697,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.34315,-77.67068,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.34315,-77.67068,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.34315,-77.67068,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.34315,-77.67068,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.34315,-77.67068,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.34315,-77.67068,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.34315,-77.67068,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.34315,-77.67068,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.52633,-77.68922,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.52633,-77.68922,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.52633,-77.68922,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.52633,-77.68922,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.52633,-77.68922,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.52633,-77.68922,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.52633,-77.68922,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.52633,-77.68922,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.52633,-77.68922,"Bahamas","AGGRA","BHS","Plague Disease"
1997,24.87927,-77.87837,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.30122,-77.64788,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.30122,-77.64788,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.30122,-77.64788,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.30122,-77.64788,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.30122,-77.64788,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.30122,-77.64788,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.30122,-77.64788,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.30122,-77.64788,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.30122,-77.64788,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.30122,-77.64788,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.30122,-77.64788,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.30122,-77.64788,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.30122,-77.64788,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.30122,-77.64788,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.30122,-77.64788,"Bahamas","AGGRA","BHS","Plague Disease"
1997,23.70967,-77.381,"Bahamas","AGGRA","BHS","Plague Disease"
1986,24,-74.44,"Bahamas",NA,"BHS","Plague Disease"
1986,24,-74.44,"Bahamas",NA,"BHS","Plague Disease"
1986,24,-74.44,"Bahamas",NA,"BHS","Plague Disease"
1986,24,-74.44,"Bahamas",NA,"BHS","Plague Disease"
1985,24.118,-74.411,"Bahamas",NA,"BHS","Plague Disease"
1986,24.118,-74.411,"Bahamas",NA,"BHS","Plague Disease"
1986,24.118,-74.411,"Bahamas",NA,"BHS","Plague Disease"
1986,24.118,-74.411,"Bahamas",NA,"BHS","Plague Disease"
1997,23.27285,-77.39735,"Bahamas","AGGRA","BHS","Plague Disease"
1986,23.99,-74.47,"Bahamas",NA,"BHS","Plague Disease"
1986,23.99,-74.47,"Bahamas",NA,"BHS","Plague Disease"
1998,24.745,-77.78467,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.745,-77.78467,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.745,-77.78467,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.745,-77.78467,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.745,-77.78467,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.745,-77.78467,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.745,-77.78467,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.745,-77.78467,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.745,-77.78467,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.745,-77.78467,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.745,-77.78467,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.745,-77.78467,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.745,-77.78467,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.745,-77.78467,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.745,-77.78467,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.745,-77.78467,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.745,-77.78467,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.745,-77.78467,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.745,-77.78467,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.745,-77.78467,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.745,-77.78467,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.745,-77.78467,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.745,-77.78467,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.745,-77.78467,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.745,-77.78467,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.745,-77.78467,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.745,-77.78467,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.745,-77.78467,"Bahamas","AGGRA","BHS","Plague Disease"
1998,24.745,-77.78467,"Bahamas","AGGRA","BHS","Plague Disease"
