"YEAR","COUNTRY","LOCATION","LAT","LON","REMARKS","SOURCE","CODE","SEVERITY"
2001,"Kenya","Kiunga MNR",-1.75,41.4833,"95% colonies bleached partially or copmpletly","CORDIO Newsletter 3 May 2001","KEN","HIGH"
1998,"Kenya","Lamu",-2.2456,41.0642,NA,"Wilkinson, Clive","KEN","LOW"
1998,"Kenya","Lamu",-2.28333333333333,40.9,"Moderate bleaching; Bleaching was most extreme in shallow water, but was also 50% or more at 20 m. Coral mortality ranges between 50 to 90%, with reefs now having 1-10% coral cover, with 10-50% of the remaining live corals still bleached in mid-October.","ReefBase","KEN","MEDIUM"
1998,"Kenya","Lamu-Kiunga area",-1.7226,41.5222,NA,"Coral Listserver","KEN","MEDIUM"
1998,"Kenya","Malindi",-3.2218,40.1403,"50-90% (along entire Kenya coast) to 20m, with highest mortalities in <2-3m","CORDIO","KEN","HIGH"
1998,"Kenya","Malindi",-3.23333333333333,40.6666666666667," Coral mortality resulting to a decline in coral coner falling from levels of 30% (southern, deep reefs) and approximately 10% (northern reefs) to about 5% at all sites.","ReefBase","KEN","LOW"
2003,"Kenya","Malindi",-3.215,40.127,"From April 8 in Malindi, bleaching was first observed and reported widely.  Following that, pale, partially bleached and some fully bleached corals were reported widely throughout Kenya. 
Bleaching is mild to moderate rather than severe; colonies are paling, and all shades of colour from normal to white are observed. In Kenya, most paling and bleaching is on upper surfaces, and the coincidence of high temperatures, calm conditions and spring low tides just prior to bleaching suggest combined effects of these factors rather than an overwhelming dominance of one.
The spatial extent of paling and bleaching amounts to perhaps 10-20% of coral cover and 5-25% or colonies, with most observations made in shallow inner-reef zones (water depth of 0.3-1m at MLW).
Most detail on taxonomic incidence of bleaching has come from reports in Kenya, where the most affected genus is Pocillopora, where locally close to 100% of colonies have been observed bleached, and some colonies observed with dead patches (primarily around the branch tips). Interestingly, P. damicornis is less affected than other species, and in one shallow reef flat area is unaffected. After Pocillopora, the most strongly affected genera include Porites, Echinopora, Galaxea and partially affected genera include Platygyra, Acropora, Montipora, various faviids and fungiids, Pavona.","David Obura 
Coral-list@coral.aoml.noaa.gov 5/8/2003","KEN","LOW"
2010,"Kenya","Mkokoni Coral Garden",1.9614,41.30054,"11 genera affected of which pocillopora was the most impacted ith highest colonies being completely bleached.other genera with showed various response of low to moderate bleaching depeding on size, and morphology are porites massive, acropora, favia, favites,echinopora, montipora and coscinarea.
The levels of bleaching response differed among different genera and species with pocilopora and porites masive being the dominant and with highest signal of bleaching.
Previously coral bleaching was also observed in this area","Report submitted by Dr. Jerker Tamelander, Manager - Oceans and Climate Change,IUCN Global Marine and Polar Programme . Observer :Jelvas Mwaura and Ali mwachui (kmnrproject@gmail.com)","KEN","HIGH"
1998,"Kenya","Mombasa",-4,39.75,"50-100%","Wilkinson, Clive","KEN","HIGH"
2003,"Kenya","Mombasa Marine Park",-3.985,39.762,"Pale, partially bleached and some fully bleached corals were reported widely throughout Kenya. 
Bleaching is mild to moderate rather than severe; colonies are paling, and all shades of colour from normal to white are observed. In Kenya, most paling and bleaching is on upper surfaces, and the coincidence of high temperatures, calm conditions and spring low tides just prior to bleaching suggest combined effects of these factors rather than an overwhelming dominance of one.
The spatial extent of paling and bleaching amounts to perhaps 10-20% of coral cover and 5-25% or colonies, with most observations made in shallow inner-reef zones (water depth of 0.3-1m at MLW).  Bleaching was also recorded at 12-15m on the fore reef slope off Mombasa, though at lower levels of <5%, and to milder levels than in shallow water.
Most detail on taxonomic incidence of bleaching has come from reports in Kenya, where the most affected genus is Pocillopora, where locally close to 100% of colonies have been observed bleached, and some colonies observed with dead patches (primarily around the branch tips). Interestingly, P. damicornis is less affected than other species, and in one shallow reef flat area is unaffected. After Pocillopora, the most strongly affected genera include Porites, Echinopora, Galaxea and partially affected genera include Platygyra, Acropora, Montipora, various faviids and fungiids, Pavona.
From repeated surveys in the Mombasa area in April/May, it appears that the incidence of bleaching is not increasing, and it remains to be seen to what extent colonies recover or die.  From temperature logger data for Mombasa, the bleaching was only observed at the end of the temperature plateau around April 10, and since then water temperatures have steadily declined.","David Obura
Coral-list@coral.aoml.noaa.gov 5/8/2003","KEN","LOW"
2001,"Kenya","Mombasa MNP",-4,39.75,"partial bleaching in some Pocillopora sp","CORDIO Newsletter 3 May 2001","KEN","LOW"
2010,"Kenya","Mpunguti",-4.692222,39.409444,"16 genera affected. Among the dominant group; Acropora, Porites Bra, Goniastrea, Favia, Alveopora and Galaxea fascicularis were affected while rare group included pocillopora and seriatiopora were the genera affected.
Extensive paling and moderate bleaching among different genera and species","Report submitted by Dr. Jerker Tamelander.Manager - Oceans and Climate Change, IUCN Global Marine and Polar Programme. Observer :Jelvas Mwaura,Juliet Karisa	 (jmwaura@kmfri.co.ke, jkarisa@kmfri.co.ke)","KEN","HIGH"
2010,"Kenya","Shimo la Tewa",2.04296,41.24666,"14 genera affected and pocillopora being the most impacted genera. Other genera affected are Acropora, echinopora, favites, tubinaria, goniastrea, platygyra and favia.
The levels of bleaching response differed among different genera and species with pocilopora and porites masive being the dominant and with highest signal of bleaching
Previously coral bleaching was observed in this area","Report submitted by Dr. Jerker Tamelander,  Manager - Oceans and Climate Change, IUCN Global Marine and Polar Programme. Observer : Jelvas Mwaura and Ali mwachui","KEN","HIGH"
2010,"Kenya","Sii island corner",-4.666667,39.28333,"19 Genera Affected. Among the dominant group, Platygyra, Galaxea fascicularis, echinopora, favia, acropora, leptoria and others were affected while the rare group included fungia, stylophora.
Extensive paling of most corals with the small-sized being the whole bleached colonies.small fungi corals were the most noticeable affected by bleaching.
Previously coral bleaching was also observed in this area","Report submitted by Dr. Jerker Tamelander,  Manager - Oceans and Climate Change. IUCN Global Marine and Polar Programme. Observer : Jelvas Mwaura,Juliet Karisa (	jmwaura@kmfri.co.ke, jkarisa@kmfri.co.ke)","KEN","HIGH"
1998,"Kenya","Takaungu",-3.66666666666667,39.8833333333333,"Low level bleaching. ","ReefBase","KEN","UNKNOWN"
1998,"Kenya","Watamu",-3.31666666666667,40.1166666666667," Coral mortality resulted to a decline in coral cover falling from levels of 30% (southern, deep reefs) and approximately 10% (northern reefs) to about 5% at all sites.","ReefBase","KEN","LOW"
1999,"Mozambique","Baixo de St. Antonio, Angoche",-16.02,40.13,"Some evidence (<2%) of current bleaching.
Fringing reef subject to considerable surge and surf at 3-7 m depth with
marked spur and groove formations manifesting the original dune rock
structure. Evidence of bleaching the current year.","Schleyer et al, 1999.  A preliminary assessment of coral bleaching in Mozambique. South African Association for Marine Biological Research Unpublished Report no. 168 PO Box 10712, Marine Parade 4056, Durban, South Africa","MOZ","LOW"
1998,"Mozambique","Baixo St Antonio",-16.2032,40.137,NA,"CORDIO","MOZ","HIGH"
1998,"Mozambique","Barreira Vermelha",-26.1,32.8833333333333," ","ReefBase","MOZ","HIGH"
1998,"Mozambique","Bazaruto Island",-21.6666666666667,35.5,"Moderate bleaching","ReefBase","MOZ","MEDIUM"
1998,"Mozambique","Cabo das Correntes (Paindane)",-23.7787,35.5125,NA,"CORDIO","MOZ","NONE"
1998,"Mozambique","Coral Garden",-21.9045,35.5151,NA,"CORDIO","MOZ","NONE"
1998,"Mozambique","Coral Garden",-23.7769,35.489,NA,"CORDIO","MOZ","MEDIUM"
1999,"Mozambique","Coral Garden (Ponta da Barra), Inhambane",-23.78,35.516,"Current bleaching <1%.
A wave cut beach rock platform
exposed to surge and surf at 1-5m
Dominated by tabular staghorn and
soft corals.","Schleyer et al, 1999.  A preliminary assessment of coral bleaching in Mozambique. South African Association for Marine Biological Research Unpublished Report no. 168 PO Box 10712, Marine Parade 4056, Durban, South Africa","MOZ","LOW"
1998,"Mozambique","Fernao Veloso Bay",-12.9563,40.5845,NA,"CORDIO","MOZ","HIGH"
1999,"Mozambique","Inhaca Island",-26.0036,32.9164,"bleaching observed early 1999","GCRMN 2000. Chapter 4","MOZ","LOW"
1998,"Mozambique","Inhaca Island",-26.05,32.95," Bleaching has caused near total mortality; quantitative assessment was difficult due to turbidity. Fish were sparse.","ReefBase","MOZ","MEDIUM"
1998,"Mozambique","Lighthouse Reef",-21.4923,35.5102,NA,"CORDIO","MOZ","MEDIUM"
1999,"Mozambique","Lighthouse Reef, Inner Two-Mile Reef",-21.516,35.483,"Current bleaching ~1%.
Partially sheltered mixed coral community, 1-3.5 m deep, on the landward side of a fringing rock reef north of Bazaruto lighthouse. Coral
cover and community structure variable according to degree exposure and sedimentation on the reef. This ranged from monospecific outcrops of large staghorn corals to sparse cover of sediment tolerant
faviids and soft corals. Little present or past bleaching. Fish community
commensurately rich and abundant.","Schleyer et al, 1999.  A preliminary assessment of coral bleaching in Mozambique. South African Association for Marine Biological Research Unpublished Report no. 168 PO Box 10712, Marine Parade 4056, Durban, South Africa","MOZ","LOW"
1998,"Mozambique","Mafamede Island",-16.4424,39.9611,NA,"CORDIO","MOZ","HIGH"
1998,"Mozambique","Mafamede Island",-16.3333333333333,40," Minimal bleaching","ReefBase","MOZ","LOW"
1999,"Mozambique","Mafamede Island, Angoche",-16.03,40.05,"Little evidence (<2%) of current bleaching.","Schleyer et al, 1999.  A preliminary assessment of coral bleaching in Mozambique. South African Association for Marine Biological Research Unpublished Report no. 168 PO Box 10712, Marine Parade 4056, Durban, South Africa","MOZ","LOW"
2010,"Mozambique","Metundo, Quirimbass",-12.14667,40.5725,"Percentage of live coral bleaching - 5%","Report submitted by Dr. Jerker Tamelander, IUCN.
Source of data : David Obura, Cordio","MOZ","UNKNOWN"
1998,"Mozambique","Mike's Cupboard",-23.7814,35.5306,NA,"CORDIO","MOZ","NONE"
1998,"Mozambique","Pemba Bay",-12.2805,40.6033,NA,"CORDIO","MOZ","HIGH"
1998,"Mozambique","Pta Torres",-26.0427,33.0087,NA,"CORDIO","MOZ","HIGH"
1998,"Mozambique","Pta Torres Channel",-25.9557,33.005,NA,"CORDIO","MOZ","NONE"
1998,"Mozambique","Quilalulia Channel",-11.0432,40.6994,NA,"CORDIO","MOZ","HIGH"
1998,"Mozambique","Sencar",-11.2059,40.6715,NA,"CORDIO","MOZ","HIGH"
1998,"Mozambique","Wimbi Beach",-11.5273,40.6275,NA,"CORDIO","MOZ","HIGH"
1998,"Somalia","1km west of Raas Cuuda",10.7898,45.979,"Most coral was dead in obs during Mar 99, related to bleaching","Schleyer,M and Baldwin,R Biodiversity Assesment of the Northern Somali Coast, East of Berbera. IUCN East Africa Programme","SOM","HIGH"
1998,"Somalia","east of El Girdi",10.56,45.22,"Heavy mortality obs on shallow reef in Mar 99 from bleaching some time ago","Schleyer,M and Baldwin,R Biodiversity Assesment of the Northern Somali Coast, East of Berbera. IUCN East Africa Programme","SOM","MEDIUM"
1998,"Somalia","west of Berbera lighthouse",10.4343,44.9681,"No apparent bleaching associated mortality during Mar 99 survey","Schleyer,M and Baldwin,R Biodiversity Assesment of the Northern Somali Coast, East of Berbera. IUCN East Africa Programme","SOM","LOW"
2000,"South Africa","2 Mile Reef, Sodwana Bay",-27.526,32.688,"During summer (December) , relatively low numbers of coral taxa (9) and coral colonies (89) were bleached (Table). The soft coral Sarcophyton was the taxon most susceptible to bleaching with 100% colonies severely bleached (71100% surface area of individual colonies bleached). However, no mortalities of these colonies were recorded. The majority of the remaining taxa were only slightly
bleached (130% of individual colonies bleached).
<a href=""http://www.reefbase.org/threats/images/2_mile_sondawa_2000.pdf"" target=""_blank""> Taxon susceptibility to bleaching table </a>","Floros, C.D., M.J. Samways and B. Armstrong, 2004.  Taxonomic patterns of bleaching within a South African coral assemblage. Biodiversity and Conservation 13 (6): 1175-1194","ZAF","LOW"
2001,"South Africa","2 Mile Reef, Sodwana Bay",-27.526,32.688,"In contrast to summer (Dec 2000), many more coral taxa and coral colonies were recorded bleached during late summer (march 2001)(21 and 290, respectively) and winter (Sept/Oct 2001) (25 and 557, respectively) (Table). Although the majority of the affected taxa were
recorded in the severely bleached category, mortality was low. Porites was highly susceptible to bleaching, with 75% of the bleached colonies being 71100% bleached. Of the Alcyonacea, Sarcophyton was the most susceptible taxon to bleaching, with 88% of bleached colonies being severely bleached. Although more coral taxa were bleached during winter than during late summer, there was a marked reduction in the number of taxa that were severely bleached
(Table). However, more taxa suffered mortalities during winter compared to late summer. Sarcophyton was again the most susceptible taxon to bleaching, with 60% of the bleached colonies being severely bleached. 
<a href=""http://www.reefbase.org/threats/images/2_mile_sondawa_2000.pdf"" target=""_blank""> Taxon susceptibility to bleaching table </a>","Floros, C.D., M.J. Samways and B. Armstrong, 2004.  Taxonomic patterns of bleaching within a South African coral assemblage. Biodiversity and Conservation 13 (6): 1175-1194","ZAF","LOW"
2001,"South Africa","2 Mile Reef, Sodwana Bay",-27.526,32.688,"In contrast to summer (Dec 2000), many more coral taxa and coral colonies were recorded bleached during late summer (March 2001)(21 and 290, respectively) and winter (Sept/Oct 2001) (25 and 557, respectively) (Table). Although the majority of the affected taxa were
recorded in the severely bleached category, mortality was low. Porites was highly susceptible to bleaching, with 75% of the bleached colonies being 71100% bleached. Of the Alcyonacea, Sarcophyton was the most susceptible taxon to bleaching, with 88% of bleached colonies being severely bleached.  
<a href=""http://www.reefbase.org/threats/images/2_mile_sondawa_2000.pdf"" target=""_blank""> Taxon susceptibility to bleaching table </a>","Floros, C.D., M.J. Samways and B. Armstrong, 2004.  Taxonomic patterns of bleaching within a South African coral assemblage. Biodiversity and Conservation 13 (6): 1175-1194","ZAF","LOW"
2000,"South Africa","5 Mile Reef, Sodwana Bay",-27.478,32.7017,"Sarcophyton was the most susceptible and frequently encountered bleached taxon during summer, with 46% of its colonies recorded as 100% bleached (Table).
<a href=""http://www.reefbase.org/threats/images/5_mile_sondawa_2000.pdf"" target=""_blank""> Taxon susceptibility to bleaching table </a>","Floros, C.D., M.J. Samways and B. Armstrong, 2004.  Taxonomic patterns of bleaching within a South African coral assemblage. Biodiversity and Conservation 13 (6): 1175-1194","ZAF","LOW"
2001,"South Africa","5 Mile Reef, Sodwana Bay",-27.478,32.7017,"Sixteen coral taxa were bleached during late summer (March 2001) (Table). The majority of taxa affected during late summer had colonies that were only slightly or moderately bleached (070%), with no mortalities being recorded. The faviids comprised a quarter of the bleached taxa, but the majority of colonies were only slightly bleached. In contrast, Lobophytum appeared to be highly susceptible to bleaching, with 75% of colonies severely affected (71100%).
<a href=""http://www.reefbase.org/threats/images/5_mile_sondawa_2000.pdf"" target=""_blank""> Taxon susceptibility to bleaching table </a>","Floros, C.D., M.J. Samways and B. Armstrong, 2004.  Taxonomic patterns of bleaching within a South African coral assemblage. Biodiversity and Conservation 13 (6): 1175-1194","ZAF","LOW"
2001,"South Africa","5 Mile Reef, Sodwana Bay",-27.478,32.7017,"Many coral taxa were bleached during winter (24) compared to summer.  The majority of bleached taxa during winter were only slightly
bleached (Table). However, this was the only season in which mortalities were recorded. Most of the bleached taxa were in the Faviidae, but the taxa with the largest proportions of colonies severely bleached were in the Acroporidae. Although no dead Sarcophyton colonies were recorded, fewer live and bleached colonies were seen on the reef during winter, possibly because colonies had died, even
though no remains were observed.
<a href=""http://www.reefbase.org/threats/images/5_mile_sondawa_2000.pdf"" target=""_blank""> Taxon susceptibility to bleaching table </a>","Floros, C.D., M.J. Samways and B. Armstrong, 2004.  Taxonomic patterns of bleaching within a South African coral assemblage. Biodiversity and Conservation 13 (6): 1175-1194","ZAF","LOW"
2000,"South Africa","7 Mile Reef, Sodwana Bay",-27.478,32.7017,"Only five coral taxa were bleached during summer on 7-MR (Table).
Montipora was the most affected taxon, with 50% of the bleached colonies recorded as dead. This was the only taxon in which mortality was observed during summer.
<a href=""http://www.reefbase.org/threats/images/7_mile_sondawa_2000.pdf"" target=""_blank""> Taxon susceptibility to bleaching table </a>","Floros, C.D., M.J. Samways and B. Armstrong, 2004.  Taxonomic patterns of bleaching within a South African coral assemblage. Biodiversity and Conservation 13 (6): 1175-1194","ZAF","LOW"
2001,"South Africa","7 Mile Reef, Sodwana Bay",-27.478,32.7017,"Sixteen coral taxa were bleached during late summer (Table). The majority of taxa affected during late summer had colonies that were
only slightly or moderately bleached (070%), with no mortalities being recorded. The faviids comprised a quarter of the bleached taxa, but the majority of colonies were only slightly bleached. In contrast, Lobophytum appeared to be highly susceptible to bleaching, with 75% of colonies severely affected (71100%).
<a href=""http://www.reefbase.org/threats/images/7_mile_sondawa_2000.pdf"" target=""_blank""> Taxon susceptibility to bleaching table </a>","Floros, C.D., M.J. Samways and B. Armstrong, 2004.  Taxonomic patterns of bleaching within a South African coral assemblage. Biodiversity and Conservation 13 (6): 1175-1194","ZAF","LOW"
