"YEAR","COUNTRY","LOCATION","LAT","LON","REMARKS","SOURCE","CODE","SEVERITY"
2000,"South Africa","5 Mile Reef, Sodwana Bay",-27.478,32.7017,"Sarcophyton was the most susceptible and frequently encountered bleached taxon during summer, with 46% of its colonies recorded as 100% bleached (Table).
<a href=""http://www.reefbase.org/threats/images/5_mile_sondawa_2000.pdf"" target=""_blank""> Taxon susceptibility to bleaching table </a>","Floros, C.D., M.J. Samways and B. Armstrong, 2004.  Taxonomic patterns of bleaching within a South African coral assemblage. Biodiversity and Conservation 13 (6): 1175-1194","ZAF","LOW"
2001,"South Africa","5 Mile Reef, Sodwana Bay",-27.478,32.7017,"Sixteen coral taxa were bleached during late summer (March 2001) (Table). The majority of taxa affected during late summer had colonies that were only slightly or moderately bleached (070%), with no mortalities being recorded. The faviids comprised a quarter of the bleached taxa, but the majority of colonies were only slightly bleached. In contrast, Lobophytum appeared to be highly susceptible to bleaching, with 75% of colonies severely affected (71100%).
<a href=""http://www.reefbase.org/threats/images/5_mile_sondawa_2000.pdf"" target=""_blank""> Taxon susceptibility to bleaching table </a>","Floros, C.D., M.J. Samways and B. Armstrong, 2004.  Taxonomic patterns of bleaching within a South African coral assemblage. Biodiversity and Conservation 13 (6): 1175-1194","ZAF","LOW"
2001,"South Africa","5 Mile Reef, Sodwana Bay",-27.478,32.7017,"Many coral taxa were bleached during winter (24) compared to summer.  The majority of bleached taxa during winter were only slightly
bleached (Table). However, this was the only season in which mortalities were recorded. Most of the bleached taxa were in the Faviidae, but the taxa with the largest proportions of colonies severely bleached were in the Acroporidae. Although no dead Sarcophyton colonies were recorded, fewer live and bleached colonies were seen on the reef during winter, possibly because colonies had died, even
though no remains were observed.
<a href=""http://www.reefbase.org/threats/images/5_mile_sondawa_2000.pdf"" target=""_blank""> Taxon susceptibility to bleaching table </a>","Floros, C.D., M.J. Samways and B. Armstrong, 2004.  Taxonomic patterns of bleaching within a South African coral assemblage. Biodiversity and Conservation 13 (6): 1175-1194","ZAF","LOW"
2000,"South Africa","7 Mile Reef, Sodwana Bay",-27.478,32.7017,"Only five coral taxa were bleached during summer on 7-MR (Table).
Montipora was the most affected taxon, with 50% of the bleached colonies recorded as dead. This was the only taxon in which mortality was observed during summer.
<a href=""http://www.reefbase.org/threats/images/7_mile_sondawa_2000.pdf"" target=""_blank""> Taxon susceptibility to bleaching table </a>","Floros, C.D., M.J. Samways and B. Armstrong, 2004.  Taxonomic patterns of bleaching within a South African coral assemblage. Biodiversity and Conservation 13 (6): 1175-1194","ZAF","LOW"
2001,"South Africa","7 Mile Reef, Sodwana Bay",-27.478,32.7017,"Sixteen coral taxa were bleached during late summer (Table). The majority of taxa affected during late summer had colonies that were
only slightly or moderately bleached (070%), with no mortalities being recorded. The faviids comprised a quarter of the bleached taxa, but the majority of colonies were only slightly bleached. In contrast, Lobophytum appeared to be highly susceptible to bleaching, with 75% of colonies severely affected (71100%).
<a href=""http://www.reefbase.org/threats/images/7_mile_sondawa_2000.pdf"" target=""_blank""> Taxon susceptibility to bleaching table </a>","Floros, C.D., M.J. Samways and B. Armstrong, 2004.  Taxonomic patterns of bleaching within a South African coral assemblage. Biodiversity and Conservation 13 (6): 1175-1194","ZAF","LOW"
2001,"South Africa","7 Mile Reef, Sodwana Bay",-27.478,32.7017,"During winter, the majority of bleached corals had a high proportion of only slightly bleached colonies (Table 3) and four taxa suffered mortalities. The Alcyonacea were highly susceptible to bleaching as two out of the three bleached taxa (Lobophytum and Sinularia ) were recorded with mortalities.
<a href=""http://www.reefbase.org/threats/images/7_mile_sondawa_2000.pdf"" target=""_blank""> Taxon susceptibility to bleaching table </a>","Floros, C.D., M.J. Samways and B. Armstrong, 2004.  Taxonomic patterns of bleaching within a South African coral assemblage. Biodiversity and Conservation 13 (6): 1175-1194","ZAF","LOW"
2000,"South Africa","Four-Mile Reef, Sodwana Bay",-27.506,32.692,"Bleached colonies rare (<1%).","Celliers, L. and M. H. Schleyer, 2002.  Coral bleaching on high-latitude marginal reefs at Sodwana Bay, South Africa. Marine Pollution Bulletin Volume 44, Issue 12: 1380-1387","ZAF","NONE"
2000,"South Africa","Nine-Mile Reef, Sodwana Bay",-27.421,32.732,"Patchy bleaching primarily of scleractinian corals and large tracts (24 m2) of an encrusting sponge (observational data only).","Celliers, L. and M. H. Schleyer, 2002.  Coral bleaching on high-latitude marginal reefs at Sodwana Bay, South Africa. Marine Pollution Bulletin Volume 44, Issue 12: 1380-1387","ZAF","UNKNOWN"
2000,"South Africa","Seven-Mile Reef, Sodwana Bay",-27.422,32.739,"No bleaching observed.","Celliers, L. and M. H. Schleyer, 2002.  Coral bleaching on high-latitude marginal reefs at Sodwana Bay, South Africa. Marine Pollution Bulletin Volume 44, Issue 12: 1380-1387","ZAF","NONE"
2000,"South Africa","Two-Mile Reef, Sodwana Bay",-27.526,32.688,"Patchy bleaching, primarily of scleractinian corals (12:2 +- 5:2% of the
total reef cover). 47:1 +- 16:5% of the bleached corals were completely
while 44:3 +- 17:4% were partially bleached. Only 4:6 +- 8:5% of the bleached
corals manifested bacterial infections. 28:9 +- 24:9% of the colonies were
protected by shading and manifested signs of photosensitivity.","Celliers, L. and M. H. Schleyer, 2002.  Coral bleaching on high-latitude marginal reefs at Sodwana Bay, South Africa. Marine Pollution Bulletin Volume 44, Issue 12: 1380-1387","ZAF","LOW"
2001,"Tanzania","Mafia Island Marine Park",-7.9516,39.8137,"some bleaching","CORDIO Newsletter 3 May 2001","TZA","LOW"
2003,"Tanzania","Mkwaja Village, Tanga Region",-5.78,38.85,"The Tanga Coastal Zone Conservation and Development Programme conducted from 16 to 21 April their semi-annual reef monitoring programme in the Southern part of the Tanga Region. In that period the reefs of Mkwaja and Kipumbwi Villages were assessed. Several species of fungid corals are either fully bleached or dead. In addition, Porites spp. and Acropora spp are paling or are completely bleached. Fully bleached colonies were mainly observed in shallow water, similar as reported by David Obura for Kenya. 
 
At the moment the surface water temperature of Tanga area is 28.6 Celcius. No significant rainfall has occurred during the past few months and we have encountered recently extreme spring tides.","Eric Verheij - TA TCZCDP, Hassan Kalombo - Reef Monitroing Co-ordinator TCZCDP
Coral-list@coral.aoml.noaa.gov
4/22/2003","TZA","UNKNOWN"
2008,"Tanzania","Pangani,  Tanga",-5.5,39.07,"0% of recorded recently killed coral on substrate is result of bleaching","Reef Check, Submitted by Hassan Kalombo. Site ID  39.03.59E.05.29.50S","TZA","NONE"
2008,"Tanzania","Pangani,  Tanga",-5.54,39.04,"0% of recorded recently killed coral on substrate is result of bleaching","Reef Check, Submitted by Hassan Kalombo . Site ID 39.22.244E.5.32.433S","TZA","NONE"
2003,"Tanzania","Tanga Town to Kigombe village",-5.187,39.103,"In that period only minor paling of a small number of colonies was observed, mainly Pocillopora spp.. The surface water temperature of Tanga area is 28 Celcius.","Hassan Kalombo - Reef Monitroing Co-ordinator TCZCDP
Coral-list@coral.aoml.noaa.gov
4/16/2003","TZA","LOW"
2008,"Madagascar","Andavadoaka, Befandefa",-22.12,43.2,"1% of recorded recently killed coral on substrate is result of bleaching","Reef Check, Submitted by Blue Ventures. Site ID 43.11.49.7E.22.07.22.3S","MDG","LOW"
2002,"Madagascar","Ankarea, Mitsio Is.",-12.846,48.573,"Bleaching was light and appeared to be in the early stages (evidenced by slight discoloration of coral tissue)","Conservation International, 2002.  Preliminary report: Marine RAP Survey of Northwest Madagascar.  Conservation International, Washington D.C.","MDG","LOW"
2002,"Madagascar","Bank Marie, Mitsio Is.",-12.935,48.538,"Bleaching was light and appeared to be in the early stages (evidenced by slight discoloration of coral tissue)","Conservation International, 2002.  Preliminary report: Marine RAP Survey of Northwest Madagascar.  Conservation International, Washington D.C.","MDG","LOW"
2009,"Madagascar","Ifaty, Toliara",-23.15,43.07,"0% of recorded recently killed coral on substrate is result of bleaching","Reef check submitted by Martina Nawratil. Site ID : 43.4.16.62E.23.9.1.1S","MDG","NONE"
2009,"Madagascar","Ifaty, Tulear",-23.15,43.57,"substrate: 3.5: Turbinaria, 9.5: Turbinaria, 16:Hard Coral  Bleached","Reef Check Submitted by Julia Smith. Site ID :  43.34.16.62E.23.9.2.16S","MDG","UNKNOWN"
2009,"Madagascar","Ifaty, Tulear",-23.15,43.57,"substrate: 18.0: Hard coral : Bleached","Reef Check Submitted by Julia Smith. Site ID :  43.34.16.62E.23.9.2.16S","MDG","UNKNOWN"
2002,"Madagascar","Nosy Fanihy, Nose Be",-13.181,48.234,"Bleaching was light and appeared to be in the early stages (evidenced by slight discoloration of coral tissue)","Conservation International, 2002.  Preliminary report: Marine RAP Survey of Northwest Madagascar.  Conservation International, Washington D.C.","MDG","LOW"
2002,"Madagascar","Nosy Fisaka, Mitsio Is.",-12.823,48.59,"Bleaching was light and appeared to be in the early stages (evidenced by slight discoloration of coral tissue)","Conservation International, 2002.  Preliminary report: Marine RAP Survey of Northwest Madagascar.  Conservation International, Washington D.C.","MDG","LOW"
2005,"Madagascar","Tampolo Marine Reserve in Antongil Bay",-18.467,49.3,"We would like to report a bleaching event in north-east Madagascar. On a field trip to Tampolo Marine Reserve in Antongil Bay last week (15 - 18 March) we observed significant bleaching in shallow waters between 2 and 4 m depth. Initial estimates indicate that around 80% of massive corals and 50% of encrusting corals were bleached, either completely or partially. Between 4 and 7 metres bleaching was also seen, but to a lesser extent. 
<br>Soft corals, anemones and giant clams were also affected in shallow waters. 
Bleaching was observed at other locations in Antongil Bay, at Nosy Mangabe and at the northern mouth of the bay at Cap Masoala. 
Anecdotal reports indicate an unusually calm and rain-free period with clear skies for the first half of March.","Simon Harding and Bemahafaly Randriamanantsoa [sharding@wcs.org] in coral list 22/2/2005","MDG","HIGH"
2002,"Madagascar","Tanikely, Nose Be",-13.485,48.24,"Bleaching was light and appeared to be in the early stages (evidenced by slight discoloration of coral tissue)","Conservation International, 2002.  Preliminary report: Marine RAP Survey of Northwest Madagascar.  Conservation International, Washington D.C.","MDG","LOW"
2002,"Madagascar","Tsarabajina, Mitsio Is.",-13.036,48.545,"Bleaching was light and appeared to be in the early stages (evidenced by slight discoloration of coral tissue)","Conservation International, 2002.  Preliminary report: Marine RAP Survey of Northwest Madagascar.  Conservation International, Washington D.C.","MDG","LOW"
2001,"Madagascar","Tulear",-23.3833,43.7167,"extensive","CORDIO Newsletter 3 May 2001","MDG","HIGH"
2009,"Mauritius","Albion Lagoon",-20.215318,57.397491,"Last week bleaching was observed in the lagoon of Albion (depth
> 1.5-2m) on the west coast of Mauritius.Mostly Acroporas were bleached. Surveys will be conducted at other sites to see whether this bleaching is localised or widespread","Ruby M Pillay <kamlaruby@intnet.mu>
Mauritius Oceanography Institute
France Centre, Victoria Avenue, Quatre Bornes, Mauritius","MUS","UNKNOWN"
2009,"Mauritius","Albion Lagoon",-20.207751,57.40359,"Last week bleaching was observed  in the lagoon of Albion (depth 1.5-2m) on the west coast of Mauritius.Mostly Acroporas were bleached.
For the month of January the highest temperature recorded in the lagoon has been 32 0C with an average of 310C. The seasonal average is usually around 29 0C.
Surveys will be conducted at other sites to see whether this bleaching is localised or widespread","Ruby Moothien Pillay (Ph. D.)
Project Officer (Oceanography)
Mauritius Oceanography Institute
France Centre, Victoria Avenue
Quatre Bornes
Mauritius
Coral List Server (coral-list@coral.aoml.noaa.gov), Message ID:005001c97e41$27f0db40$0300a8c0@MOI.local","MUS","UNKNOWN"
2002,"Mauritius","North of Rodrigues, Mauritius",-19.638,63.396,"However the reef flat in the north was seriously affected by mass coral
mortality in early March 2002, possibly correlating with elevated sea temperatures.","Coral Bleaching and Mortality  the 1998 Event 4 Years Later and Bleaching to 2002. In: C.R. Wilkinson (ed.), Status of coral reefs of the world:2002. GCRMN Report, Australian Institute of Marine Science, Townsville. Chapter 1, pp 33-44","MUS","HIGH"
2005,"Mauritius","Rodrigues (Republic of Mauritius)",-16.743,63.397,"Initial surveys have found severe bleaching on the shallow reef flats at 1-3m depth with almost 100% of Acropora digitifera and >75% of branching (A. austera, A. abrotanoides) and tabular (A. cytherea, A. clathrata) Acropora colonies affected. <br>
Other species such as Montipora aequituberculata, Pocillopora spp., Favia stelligera, massive Porites sp., Porites rus and Platygyra daedalea exhibited partial-total bleaching as did soft corals and zoanthids (Palythoa sp.). 
<br>Bleaching was observed down to 5m depth, where it mainly affected branching and tabular Acropora species. Seawater temperatures have been measured as being up to 32oC and as in Madagascar, the area has been subjected to a period of unusually hot and calm weather. Further surveys are now being carried out to assess the extent and severity of the bleaching event around the whole island.","Dr Emily Hardman [research@shoals.intnet.mu] in coral list 23/3/2005","MUS","HIGH"
2001,"Réunion","La Saline Lagoon",-21.16,55.28,"extensive bleaching","CORDIO Newsletter 3 May 2001","REU","HIGH"
2001,"Réunion","PlanchAlize, La Saline-les-Bains reef",-21.08,55.233,"31-50% of hard coral bleached,  1-10% of soft coral bleached.","Michael Rard unpublished data","REU","MEDIUM"
2002,"Réunion","Reunion Island",-21.1,55.2526,"bleaching at 2 sites because of hurricane Dina in January.  Bleaching due to rain and mud in freshwater caused by hurricane","Coral-list 18/5/2002 Michael Rard","REU","LOW"
2001,"Réunion","Saint Leu",-21.158,55.289,"1-10% of hard coral bleached
Soft coral was not affected.
This site was one of the most beautiful coral site, with a dominance by the genus Acropora. But, this site was 99.9 % destroyed by the hurricane Firinga in 1989. Today, because of a huge sea urchin bioerosion, we can see a very high diversity, completed with a high growth rate of hard corals.","Michael Rard unpublished data","REU","LOW"
2001,"Réunion","Trou d'Eau, La Saline-les-Bains",-21.0867,55.2407,">50% hard coral bleached.
Soft coral no affected.","Michael Rard unpublished data","REU","HIGH"
2005,"Barbados","North of Barbados",13.281,-59.653,"Barbados' coral reefs have also be experiencing some bleaching.  Preliminary investigations to the north of the island have revealed the following:

Species affected: Diploria strigosa, Meandrina meandrites, Siderastrea siderea, Montastrea annularis, and Diploria labryinthiformis","Fabian Hinds [fhinds@coastal.gov.bb] in Coral List 9/15/2005","BRB","UNKNOWN"
2005,"Barbados","South coast of Barbados",13.063,-59.482,"We conducted at least 5 reconnaissance dives on the south coast of the island.  A greater diversity of species were found to have undergone bleaching.  <br>
Our office has also been receiving reports from fishermen and by the Fisheries Division that a number of spotted moray eels have been washing up onto the beach in some areas, probably caused by  the elevated temperatures were reducing dissolved oxygen, hence suffocating the morays.  Likewise, reports have been made that the white sea egg (Tripneustes ventricosus) has been going through a mortality event of their own.  Spines have been reported to be falling off etc. <br>
The observed bleaching has been so wide-spread that almost any coordinate would do.  However, below are the coordinates for 4 of 35 dive sites for which we maintain moorings for dive boats:
  a.. Maycocks Reef - N 13 17'32.8""  W 059 39'47.5""  ( most northern buoy on west coast)<br>
  b.. Spawnee           - N 13 13'38.4""  W 059 39'08.5""  (west coast)<br>
  c.. Old Fort            - N 13 04'39.3""  W 059 36'55.2"" (South coast)<br>
  d.. Pieces of Eight   - N 13 04'18.2""  W 059 35'48.5"" (south coast)<br>","Fabian Hinds [fhinds@coastal.gov.bb] in Coral List 20/9/2005","BRB","UNKNOWN"
2007,"Guadeloupe","Port Louis",16.43,-61.54,"<5% of recorded RKC is result of bleaching","Reef Check, Submitted by Remi Garnier.  Site ID  61.32.34.5W.16.25.52.3N","GLP","LOW"
2005,"Netherlands Antilles","Bonaire",12.18,-68.313,"I have just returned from 2 weeks in Bonaire and we 
saw very little bleaching in Bonaire.  A few Eusmillia fastigiata, but 
not very many and no complete colony bleaching.<br>
Water temperatures were around 28 C, cooler than the usual mid-September 
temperatures of approximately 29 C. <br> 

There was the 'usual' bleaching of some of the deep water Agaricia sp 
but much more mild than we have seen over the past years.","John Ware [jware@erols.com] in Coral List 22/9/2005","ANT","NONE"
2005,"Netherlands Antilles","Curacao",12.096,-68.94,"We just finished four days of disease surveys and there is no bleaching. Few colonies of Palythoa, deep Agaricia, Eusmilia fastigiata and one Colpophyllia natans showed paling. Everything looks normal and water temperature are also normal.","Ernesto Weil [eweil@caribe.net] in Coral List 23/9/2005","ANT","NONE"
2009,"Netherlands Antilles","Curacao",12.22,-69.09,"0% of recorded recently killed coral on substrate is result of bleaching","Reef Check Submitted by Marjo van den Bulck. Site ID : 69.05.236W.12.13.121N","ANT","NONE"
2009,"Netherlands Antilles","Curacao",12.22,-69.09,"0% of recorded recenly killed coral  on substrate is result of bleaching; damage caused by sand","Reef check Submitted by  Marjo van den Bulck . Site ID : 69.05.199W.12.13.089N","ANT","NONE"
2008,"Netherlands Antilles","Oranjestad, St Eustatius",17.46,-62.98,"10% of recorded recently killed coral on substrate is result of bleaching","Reef Check, Submitted by Lee Munson. Site ID 62.58.39W.17.27.46N","ANT","LOW"
